[2025-05-14 20:45:56] [ERROR]: Error al enviar index.html:ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-14 21:00:55] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-14 21:03:44] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-14 21:06:01] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-14 21:07:46] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-14 21:09:55] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-14 21:11:27] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-15 18:53:46] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-15 21:20:11] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-15 21:23:48] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-15 21:27:48] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
[2025-05-15 21:33:58] [ERROR]: Error al enviar index.html: ENOENT: no such file or directory, stat 'C:\proyectos\GII-TFG-Asistente-de-Buenas-Practicas-para-Proyectos-en-GitHub\src\backend\frontend\dist\frontend\browser\index.html'
